ident,commune,type,comptage_5m,indice_congestion_matin,indice_congestion_soir,compteur_latitude,compteur_longitude,stop_id,stop_name,distance_arret_m,lignes_tbm
Z6CT10,Mérignac,BOUCLE,0,,,44.8383701,-0.6140944,2454,Etchénique,233.7,1;73
Z6CT10,Mérignac,BOUCLE,0,,,44.8383701,-0.6140944,644,Lognac,196.6,1;73
Z6CT10,Mérignac,BOUCLE,0,,,44.8383701,-0.6140944,730,Mondésir Poste,274.7,1;73
Z6CT10,Mérignac,BOUCLE,0,,,44.8383701,-0.6140944,2467,Place Mondésir,92.3,1;51;73
Z6CT10,Mérignac,BOUCLE,0,,,44.8383701,-0.6140944,299,Place Mondésir,224.1,1;51;73
Z6CT12,Bordeaux,BOUCLE,17,0.075780,0.076832,44.8367576,-0.5968019,1323,Barrière d'Arès,190.6,9;H2
Z6CT12,Bordeaux,BOUCLE,17,0.075780,0.076832,44.8367576,-0.5968019,2327,Barrière d'Arès,187.5,9;H1
Z6CT12,Bordeaux,BOUCLE,17,0.075780,0.076832,44.8367576,-0.5968019,2469,Barrière d'Arès,115.2,1;51;70
Z6CT12,Bordeaux,BOUCLE,17,0.075780,0.076832,44.8367576,-0.5968019,2470,La Chartreuse,236.4,1;70
Z27CT7,Pessac,BOUCLE,15,0.078706,0.096841,44.8087492,-0.6626396,3144,Socrate,54.4,30;S38;S46
Z27CT7,Pessac,BOUCLE,15,0.078706,0.096841,44.8087492,-0.6626396,7412,Socrate,33.5,S38;S46
Z27CT7,Pessac,BOUCLE,15,0.078706,0.096841,44.8087492,-0.6626396,808,Socrate,57.6,30
Z27CT6,Pessac,BOUCLE,70,0.089336,0.067705,44.8025503,-0.663169,1367,Le Trinquet,18.7,24;39;77;78
Z27CT6,Pessac,BOUCLE,70,0.089336,0.067705,44.8025503,-0.663169,2884,Le Trinquet,20.2,24;39;77;78
Z27CT6,Pessac,BOUCLE,70,0.089336,0.067705,44.8025503,-0.663169,26,Monbalon 2,295.8,24;77;78
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,1131,France Alouette,41.1,4
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,2783,France Alouette,175.8,4
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,2871,France Alouette,184.5,39;77
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,2881,France Alouette,142.4,39;77
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,7440,France Alouette,151.2,B
Z27CT3,Pessac,BOUCLE,29,0.071121,0.094781,44.7996996,-0.6619426,2765,Xavier Arnozan,236.3,4
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,1131,France Alouette,284.3,4
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,2783,France Alouette,225.3,4
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,2871,France Alouette,161.1,39;77
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,2881,France Alouette,189.9,39;77
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,7440,France Alouette,194.1,B
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,1197,Meyraud,292.2,4;77
Z27CT5,Pessac,BOUCLE,29,0.053241,0.099769,44.7970702,-0.6619654,1238,Meyraud,281.6,4;77
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,2766,Castaing,288.9,4;77
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,2782,Castaing,228.1,4;77
