ident,type,zone,commune,code_commune,latitude,longitude,comptage_5m,mesure_timestamp,hpm_val_2022,hps_val_2022,mjo_val_2022,indice_congestion_matin,indice_congestion_soir,donnee_annuelle_disponible
Z17CT5,BOUCLE,17,Talence,33522,44.8009276,-0.595159,42,2026-09-25T14:20:00+02:00,338,544,7260,0.046556,0.074931,oui
Z17CT9,BOUCLE,17,Talence,33522,44.7959917,-0.6033196,106,2026-09-25T14:20:00+02:00,1121,1099,14564,0.076971,0.075460,oui
Z1704CT9,BOUCLE,17,Talence,33522,44.8071253,-0.6007774,0,2026-09-25T14:20:00+02:00,,,,,,non
Z1704CT12,BOUCLE,17,Talence,33522,44.8082585,-0.5992682,12,2026-09-25T14:20:00+02:00,,,,,,non
Z1704CT3,BOUCLE,17,Talence,33522,44.8079239,-0.6049105,46,2026-09-25T14:20:00+02:00,,,,,,non
Z1704CT10,BOUCLE,17,Talence,33522,44.8079023,-0.6024456,6,2026-09-25T14:20:00+02:00,,,,,,non
Z1702CT3,BOUCLE,17,Talence,33522,44.8082569,-0.6056064,,2012-11-19T18:33:56+01:00,,,,,,non
Z14CT15,BOUCLE,14,Bordeaux,33063,44.8675934,-0.5633528,23,2026-09-25T14:20:00+02:00,721,829,11273,0.063958,0.073539,oui
Z14CT20,BOUCLE,14,Bordeaux,33063,44.870959,-0.5639623,27,2026-09-25T14:20:00+02:00,217,467,4926,0.044052,0.094803,oui
Z14CT17,BOUCLE,14,Bordeaux,33063,44.8608542,-0.5542418,60,2026-09-25T14:20:00+02:00,822,779,11103,0.074034,0.070161,oui
Z5CT11,BOUCLE,5,Bordeaux,33063,44.829368,-0.5600013,24,2026-09-25T14:20:00+02:00,411,375,5651,0.072730,0.066360,oui
Z5CT14,BOUCLE,5,Bordeaux,33063,44.8301873,-0.5550587,0,2026-09-25T14:20:00+02:00,,,,,,non
Z5CT7,BOUCLE,5,Bordeaux,33063,44.8301714,-0.5552268,60,2026-09-25T14:20:00+02:00,,,,,,non
Z3CT1,BOUCLE,3,Bordeaux,33063,44.8301427,-0.5805599,0,2026-09-25T14:20:00+02:00,133,138,1818,0.073157,0.075908,oui
Z3CT5,BOUCLE,3,Bordeaux,33063,44.8317387,-0.5767387,0,2026-09-25T14:20:00+02:00,317,363,5670,0.055908,0.064021,oui
Z3CT13,BOUCLE,3,Bordeaux,33063,44.834005,-0.5821816,,2012-11-27T17:39:12+01:00,,,,,,non
Z3CT17,BOUCLE,3,Bordeaux,33063,44.829363,-0.5735972,15,2026-09-25T14:20:00+02:00,115,116,1798,0.063960,0.064516,oui
Z3CT6,BOUCLE,3,Bordeaux,33063,44.8261938,-0.5770137,20,2026-09-25T14:20:00+02:00,372,336,4425,0.084068,0.075932,oui
Z3CT15,BOUCLE,3,Bordeaux,33063,44.8271409,-0.5737573,13,2026-09-25T14:20:00+02:00,180,325,2593,0.069418,0.125337,oui
Z3CT7,BOUCLE,3,Bordeaux,33063,44.8287983,-0.5723094,0,2026-09-25T14:20:00+02:00,,,,,,non
Z3CT8,BOUCLE,3,Bordeaux,33063,44.8306315,-0.5718125,0,2026-09-25T14:20:00+02:00,266,219,3941,0.067496,0.055570,oui
Z11CT2,BOUCLE,11,Talence,33522,44.8167291,-0.5856869,29,2026-09-25T14:20:00+02:00,380,434,4869,0.078045,0.089135,oui
Z11CT16,BOUCLE,11,Talence,33522,44.8163634,-0.5860491,25,2026-09-25T14:20:00+02:00,442,405,4896,0.090278,0.082721,oui
Z11CT7,BOUCLE,11,Bordeaux,33063,44.8241215,-0.5818402,27,2026-09-25T14:20:00+02:00,400,377,4784,0.083612,0.078804,oui
Z11CT10,BOUCLE,11,Talence,33522,44.8180907,-0.577979,0,2026-09-25T14:20:00+02:00,1098,1250,15384,0.071373,0.081253,oui
Z11CT12,BOUCLE,11,Bordeaux,33063,44.8157049,-0.5741,49,2026-09-25T14:20:00+02:00,886,771,11967,0.074037,0.064427,oui
Z20CT1,BOUCLE,20,Bordeaux,33063,44.8497527,-0.6029098,,2012-11-27T18:24:28+01:00,,,,,,non
Z20CT2,BOUCLE,20,Bordeaux,33063,44.8512046,-0.6069742,,2012-11-27T18:25:16+01:00,,,,,,non
Z20CT8,BOUCLE,20,Bordeaux,33063,44.8511589,-0.608456,,2012-11-27T18:26:16+01:00,,,,,,non
Z20CT4,BOUCLE,20,Bordeaux,33063,44.8604665,-0.6365486,14,2026-09-25T14:20:00+02:00,447,528,5357,0.083442,0.098563,oui
