collected_at,feed_timestamp,entity_id,trip_id,route_id,direction_id,stop_id,stop_sequence,arrival_delay_seconds,departure_delay_seconds
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,9806,25,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,13184,26,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,5537,27,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,1770,28,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,13224,29,0,0
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,1715,30,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,681,31,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,681,1,-875,61
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3527,2,43,67
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,322,3,41,49
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,2754,4,58,58
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,5536,5,42,70
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,13159,6,56,82
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,9805,7,57,84
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,2432,8,81,109
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3508,9,90,107
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,6752,10,76,97
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3578,11,100,124
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,1633,12,69,92
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,2633,13,76,129
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3878,14,113,115
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3880,15,119,122
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,2628,16,122,145
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3225,17,128,151
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3227,18,117,136
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,776,19,87,87
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,356,20,88,88
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3231,21,88,88
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,732,22,89,89
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3233,23,89,89
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3235,24,88,88
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3237,25,89,89
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,538,26,89,89
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,3239,27,89,89
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,5698,28,88,88
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436730_25|b_268436730,b_268436730_25,08,0,6355,29,88,88
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,9712,1,-1153,32
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,5609,2,-8,11
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,8231,3,-15,-15
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,5741,4,-15,-15
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,5458,5,-15,-15
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,1964,6,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,2833,7,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,574,8,-15,-15
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,806,9,-15,-15
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,4800,10,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,5743,11,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,130,12,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,3510,13,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,5457,14,-16,-16
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268438905_25|b_268438905,b_268438905_25,32,0,1255,15,-16,-16
