stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,parent_station
2166,BEA95R,Beauval,44.90550800,-0.50320200,1,BBEAU95
3670,BEA95A,Beauval,44.90603500,-0.50308200,1,BBEAU95
1059,BEC52A,Bechade,44.86820074,-0.67066261,0,
6411,BEC30R,Bechade,44.86763700,-0.67053700,0,BBECHA
739,BEC52R,Bechade,44.86822751,-0.67094319,0,
8647,LIN39A,Becquerel,44.83725600,-0.69407600,1,BLINDBE
8648,LIN39R,Becquerel,44.83722600,-0.69418800,1,BLINDBE
7506,BED30R,Bedat,44.84661200,-0.64971500,1,BBEDAT
7512,BED30A,Bedat,44.84664900,-0.64967900,1,BBEDAT
3988,HOR52A,Bel Air,44.87243000,-0.66404400,1,BHORTIC
3989,HOR52R,Bel Air,44.87208100,-0.66369200,1,BHORTIC
5923,BEL41R,Bel Air,44.83975490,-0.60750370,0,
